#----------------------------------------------------------------------------
# ACTION ROLE DEFINITION & ACTION DEFINITION
#
# NOTES: you should use only partial description as                            
#        as the program will make the description of
#        an ACTION as class.description 
#        example: Access.New
#
#        For an action role the program will make the 
#        description as program.role.class.description
#        example: PROGRAM01.ADMIN.Access.New   
#
#        If there aren't enough programs, you can add another line see New-Access
#                    
#----------------------+--------------------------------------+-----------------------------+-------+------------------+---------------------+---------------------+---------------------+---------------------+---------------------+---------------------+---------------------+---------------------+---------------------+
#                      |                                      |                             |       |                  |   R O L E   N� 1    |   R O L E   N� 2    |   R O L E   N� 3    |   R O L E   N� 4    |   R O L E   N� 5    |   R O L E   N� 6    |   R O L E   N� 7    |   R O L E   N� 8    |   R O L E   N� 9    |   R O L E   N� 10   |
#Description (PARTIAL) |Action Class Model Control            |  icon                       | group |   MenuItem       +---------------------+----------+----------+---------------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
#                      |                                      |                             |       |                  |Role 1            |Program 1 |Role 2    |Program 2 |Role 3    |Program 3 |Role 4    |Program 4 |Role 5    |Program 5 |Role 6    |Program 6 |Role 7    |Program 7 |Role 8    |Program 8 |Role 9    |Program 9 |Role 10   |Program 10|
#----------------------+--------------------------------------+-----------------------------+-------+------------------+------------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
Search                 |openadmin.model.control.Administracion|../resources/icon/search.png |   0   |  default         |ADMIN_CONTROL              |control   |          |          | |   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
#----------------------+--------------------------------------+-----------------------------+-------+------------------+------------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
New                    |openadmin.model.control.EntityAdm     |fa-file-o                    |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Edit                   |openadmin.model.control.EntityAdm     |fa-edit                      |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Delete                 |openadmin.model.control.EntityAdm     |fa-trash-o                   |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Search                 |openadmin.model.control.EntityAdm     |fa-search                    |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
#----------------------+--------------------------------------+-----------------------------+-------+------------------+------------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
New                    |openadmin.model.control.Program       |fa-file-o                    |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Edit                   |openadmin.model.control.Program       |fa-edit                      |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Delete                 |openadmin.model.control.Program       |fa-trash-o                   |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Search                 |openadmin.model.control.Program       |fa-search                    |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
#----------------------+--------------------------------------+-----------------------------+-------+------------------+------------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
New                    |openadmin.model.control.Role          |fa-file-o                    |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Edit                   |openadmin.model.control.Role          |fa-edit                      |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Delete                 |openadmin.model.control.Role          |fa-trash-o                   |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Search                 |openadmin.model.control.Role          |fa-search                    |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
:caldni                |openadmin.model.control.Role          |fa-user                      |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
#----------------------+--------------------------------------+-----------------------------+-------+------------------+------------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
New                    |openadmin.model.control.User          |fa-file-o                    |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Edit                   |openadmin.model.control.User          |fa-edit                      |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Delete                 |openadmin.model.control.User          |fa-trash-o                   |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Search                 |openadmin.model.control.User          |fa-search                    |   0   |  default         |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
#----------------------+--------------------------------------+-----------------------------+-------+------------------+------------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
New                    |openadmin.model.control.MenuItem      |fa-file-o                    |   0   |  custom          |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Edit                   |openadmin.model.control.MenuItem      |fa-edit                      |   0   |  custom          |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Delete                 |openadmin.model.control.MenuItem      |fa-trash-o                   |   0   |  custom          |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
Search                 |openadmin.model.control.MenuItem      |fa-search                    |   0   |  custom          |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
#----------------------+--------------------------------------+-----------------------------+-------+------------------+------------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
dataLoad               |openadmin.util.configuration.FirstControlLoad |                  |   0   |  dataload        |ADMIN_CONTROL     |control   |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
#----------------------+-------------------------------------------------+------------------+-------+------------------+------------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
#
